Title,Console,Genre,Publisher,Critic_Score,Total_Sales,NA_Sales,JP_Sales,PAL_Sales,Other_Sales,Release_Date
Assassin's Creed IV: Black Flag,XOne,Action,Ubisoft,8.3,2.32,1.51,,0.59,0.22,11/22/2013
Cool Boarders 3,PS,Sports,989 Studios,,2.31,1.65,0.1,0.46,0.1,10/28/1998
Need for Speed: High Stakes,PS,Racing,Electronic Arts,,2.31,1.58,,0.64,0.09,3/1/1999
The Sims 3,X360,Simulation,Electronic Arts,8,2.31,1.28,0,0.82,0.2,10/26/2010
LEGO Star Wars: The Complete Saga,PS3,Action,LucasArts,8,2.31,1.02,,0.93,0.36,11/6/2007
James Bond 007: Everything or Nothing,PS2,Shooter,Electronic Arts,,2.31,0.85,0.09,1.06,0.32,2/17/2004
Dead Island,PS3,Action,Deep Silver,6.7,2.29,1.08,0.15,0.74,0.32,9/6/2011
Tomb Raider II,PC,Adventure,Eidos Interactive,8.2,2.29,0.91,,1.25,0.13,10/31/1997
LEGO Harry Potter: Years 1-4,DS,Adventure,Warner Bros. Interactive,8,2.29,1.07,,1,0.22,6/29/2010
Pro Evolution Soccer 2010,PS3,Sports,Konami,7,2.28,0.3,0.46,1.27,0.26,11/3/2009
Need for Speed Underground 2,XB,Racing,Electronic Arts,8,2.28,1.38,,0.8,0.1,11/15/2004
FIFA Soccer 09,PS2,Sports,Electronic Arts,,2.28,0.38,0.01,0.07,1.82,10/14/2008
Madden NFL 12,PS3,Sports,EA Sports,7.8,2.27,1.93,,0.15,0.18,8/30/2011
Star Wars Battlefront II (US sales),PS2,Shooter,LucasArts,,2.27,2.18,,0.07,0.02,11/1/2005
Borderlands 2,PS3,Shooter,2K Games,,2.27,1.06,0.1,0.75,0.36,9/18/2012
No Man's Sky,PS4,Action-Adv,Hello Games,6.8,2.26,0.89,0.04,0.97,0.37,8/9/2016
Madden NFL 15,PS4,Sports,EA Sports,,2.25,1.58,,0.25,0.41,8/26/2014
Guitar Hero III: Legends of Rock,PS3,Misc,RedOctane,8.2,2.25,1.4,0.02,0.53,0.3,10/28/2007
Just Dance Kids,Wii,Misc,Ubisoft,,2.25,1.52,,0.54,0.19,11/9/2010
Cool Boarders 2,PS,Sports,Sony Computer Entertainment,,2.25,1.52,0.2,0.46,0.08,10/31/1997
Sonic Advance,GBA,Platform,Sega,,2.24,1.19,0.22,0.71,0.13,2/4/2002
Call of Duty 3,Wii,Shooter,Activision,6.8,2.24,1.17,,0.84,0.23,11/14/2006
Dance Dance Revolution X2,PS2,Simulation,Konami,,2.23,1.09,,0.85,0.28,10/27/2009
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Action,Ultra Games,,2.23,1.74,0.21,0.25,0.03,12/1/1990
Spyro: Season of Ice,GBA,Platform,Vivendi Games,,2.23,1.29,,0.83,0.11,10/29/2001
Prince of Persia: The Sands of Time,PS2,Adventure,Ubisoft,9,2.22,0.88,,1.03,0.31,11/6/2003
FIFA 19,XOne,Sports,Electronic Arts,,2.22,0.56,,1.5,0.16,9/28/2018
Battlefield V,PS4,Shooter,Electronic Arts,,2.22,0.8,0.16,0.93,0.34,11/20/2018
Star Wars: The Force Unleashed,PS3,Action,LucasArts,6.8,2.22,1.01,,0.86,0.35,9/16/2008
NBA 2K14,PS3,Sports,2K Sports,,2.22,1.45,0.04,0.34,0.39,10/1/2013
Guitar Hero II,X360,Misc,RedOctane,9.2,2.21,2.01,,0.02,0.17,4/3/2007
Madden NFL 19,PS4,Sports,EA Sports,,2.21,1.63,,0.18,0.41,8/10/2018
Rock Band 2,X360,Misc,MTV Games,9.2,2.2,1.78,,0.24,0.18,9/14/2008
LEGO Indiana Jones: The Original Adventures,DS,Adventure,LucasArts,,2.2,1.4,,0.6,0.21,6/3/2008
Need for Speed: Hot Pursuit,X360,Racing,Electronic Arts,8.8,2.2,1.03,0,0.96,0.21,11/16/2010
BioShock 2,X360,Shooter,2K Games,8.6,2.2,1.45,0.02,0.54,0.2,2/9/2010
R.B.I. Baseball,NES,Sports,Tengen,,2.2,0.15,2.05,,,1/1/1988
High School Musical: Makin' the Cut!,DS,Puzzle,Disney Interactive Studios,7.3,2.2,1.06,,0.9,0.23,8/14/2007
FIFA 15,XOne,Sports,EA Sports,7.9,2.19,0.64,,1.39,0.16,9/23/2014
Skylanders SWAP Force,Wii,Platform,Activision,,2.19,1.23,,0.77,0.19,10/13/2013
Pro Evolution Soccer 2012,PS3,Sports,Konami,7.5,2.19,0.34,0.55,0.97,0.32,9/27/2011
Star Wars: Knights of the Old Republic,XB,RPG,LucasArts,9.4,2.19,1.68,,0.44,0.08,7/17/2003
Final Fantasy XIII,X360,RPG,Square Enix,8.1,2.19,1.3,0.01,0.67,0.21,3/9/2010
Destiny: The Taken King,PS4,Shooter,Activision,,2.18,0.97,0.05,0.8,0.36,9/15/2015
Need for Speed: Payback,PS4,Racing,Electronic Arts,5.8,2.18,0.62,0.04,1.18,0.34,11/10/2017
ATV Offroad Fury 2,PS2,Racing,Sony Computer Entertainment,8.7,2.18,1.92,,0.2,0.06,11/9/2002
Need for Speed Rivals,PS4,Racing,Electronic Arts,,2.17,0.75,0.03,1.04,0.35,11/15/2013
PlayerUnknown's Battlegrounds,XOne,Shooter,Microsoft Studios,,2.17,1.29,,0.69,0.2,12/12/2017
Spyro Reignited Trilogy,PS4,Platform,Activision,,2.17,0.75,,1.07,0.35,11/13/2018
Your Shape featuring Jenny McCarthy,Wii,Sports,Ubisoft,6,2.16,1.5,,0.46,0.19,11/24/2009
The Sims: House Party,PC,Simulation,Maxis,,2.16,1.23,,0.83,0.1,3/26/2001
PlayStation VR Worlds,PS4,Misc,Sony Interactive Entertainment,,2.16,0.36,0.09,1.4,0.32,10/13/2016
Syphon Filter 2,PS,Shooter,989 Studios,,2.15,1.5,0.02,0.55,0.08,2/29/2000
Battlefield: Hardline,PS4,Shooter,Electronic Arts,,2.15,0.72,0.14,0.97,0.33,3/17/2015
Call of Duty: Roads to Victory,PSP,Shooter,Activision,6.1,2.14,0.52,,1.03,0.59,3/13/2007
SimCity 2000,PC,Simulation,Maxis,8,2.14,1.2,,0.84,0.1,1/1/1993
NBA 2K12,PS3,Sports,2K Sports,9,2.13,1.62,0.05,0.27,0.18,10/4/2011
Dance Dance Revolution Extreme,PS2,Simulation,Konami,,2.13,1.04,,0.81,0.27,9/21/2004
Demon Attack,2600,Shooter,Imagic,,2.13,1.99,,0.12,0.02,1/1/1982
Borderlands,PS3,Shooter,2K Games,8.2,2.12,1.22,,0.61,0.29,10/20/2009
Mortal Kombat (2011),X360,Fighting,Warner Bros. Interactive Entertainment,8.6,2.12,1.64,,0.31,0.17,4/19/2011
Tony Hawk's Pro Skater,N64,Sports,Activision,9.3,2.11,1.68,,0.4,0.03,2/29/2000
Need for Speed: Hot Pursuit 2,PS2,Racing,Electronic Arts,8.7,2.11,1.68,0.02,0.31,0.09,10/1/2002
PES 2009: Pro Evolution Soccer,PS3,Sports,Konami,7.7,2.11,0.11,0.4,1.34,0.26,11/11/2008
NBA 2K11,X360,Sports,2K Sports,8.8,2.11,1.86,0.01,0.12,0.13,10/5/2010
Scooby-Doo! Night of 100 Frights,PS2,Platform,THQ,,2.1,1.17,,0.72,0.22,5/20/2002
Battlefield 4,XOne,Shooter,Electronic Arts,,2.09,1.26,,0.65,0.19,11/22/2013
Finding Nemo,PS2,Action,THQ,,2.09,1.26,0.05,0.6,0.18,5/9/2003
Madden NFL 15,X360,Sports,EA Sports,,2.09,1.8,,0.06,0.22,8/26/2014
Grand Theft Auto: Episodes from Liberty City,PS3,Adventure,Rockstar Games,9,2.09,0.62,0.13,0.99,0.34,4/13/2010
Need for Speed: Most Wanted 5-1-0,PSP,Racing,Electronic Arts,7.4,2.09,1.77,0.02,0.13,0.17,11/15/2005
Just Dance 2015,Wii,Music,Ubisoft,,2.09,1,,0.91,0.18,10/21/2014
Tetris Worlds,PS2,Puzzle,THQ,,2.08,1.11,,0.71,0.27,3/20/2002
Metal Gear Solid: Peace Walker,PSP,Action,Konami,8.6,2.08,0.46,0.96,0.42,0.25,6/8/2010
Rock Band,Wii,Misc,MTV Games,8.2,2.08,1.33,,0.56,0.2,6/22/2008
Sim Theme Park,PC,Strategy,Electronic Arts,8.1,2.08,2.04,,0.04,,10/31/1999
Wipeout: The Game,Wii,Misc,Activision,,2.08,1.94,,,0.14,6/22/2010
Portal 2,X360,Shooter,Valve,9.6,2.08,1.41,0.01,0.49,0.17,4/19/2011
